# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:30:20
# test: noise 1000
# period_ms=10 samples=100 capacity=384 result=OK build="Sep 24 2026 19:25:15"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=-5 ticks_per_turn=362 turn_still_ms=20
# spd=400 fast=400 turn=180 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=100
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,937,996,932,679
10,0,0,0,0,942,998,935,684
20,0,0,0,0,940,996,933,684
30,0,0,0,0,939,995,932,682
40,0,0,0,0,943,998,934,683
50,0,0,0,0,939,996,932,682
60,0,0,0,0,939,995,933,681
70,0,0,0,0,939,996,934,683
80,0,0,0,0,937,997,934,681
90,0,0,0,0,941,995,910,683
100,0,0,0,0,938,996,888,682
110,0,0,0,0,938,993,886,682
120,0,0,0,0,940,993,887,683
130,0,0,0,0,937,996,887,681
140,0,0,0,0,936,995,884,682
150,0,0,0,0,939,998,889,683
160,0,0,0,0,939,994,887,682
170,0,0,0,0,912,996,888,683
180,0,0,0,0,914,997,888,684
190,0,0,0,0,913,995,888,682
200,0,0,0,0,914,998,912,683
210,0,0,0,0,910,997,912,682
220,0,0,0,0,913,997,912,684
230,0,0,0,0,913,994,911,684
240,0,0,0,0,912,998,912,683
250,0,0,0,0,914,996,935,684
260,0,0,0,0,911,996,912,681
270,0,0,0,0,916,998,912,686
280,0,0,0,0,939,994,933,683
290,0,0,0,0,939,997,935,683
300,0,0,0,0,941,996,935,685
310,0,0,0,0,939,997,934,684
320,0,0,0,0,940,997,932,684
330,0,0,0,0,942,997,935,684
340,0,0,0,0,941,996,934,684
350,0,0,0,0,939,996,933,683
360,0,0,0,0,940,995,936,684
370,0,0,0,0,939,995,935,682
380,0,0,0,0,938,995,933,683
390,0,0,0,0,940,995,934,685
400,0,0,0,0,939,996,933,682
410,0,0,0,0,940,994,910,684
420,0,0,0,0,939,996,912,685
430,0,0,0,0,937,995,911,682
440,0,0,0,0,941,995,934,684
450,0,0,0,0,936,969,933,682
460,0,0,0,0,941,971,934,684
470,0,0,0,0,940,996,935,682
480,0,0,0,0,942,995,935,681
490,0,0,0,0,940,996,934,683
500,0,0,0,0,938,998,935,683
510,0,0,0,0,939,994,931,681
520,0,0,0,0,939,995,912,683
530,0,0,0,0,940,995,911,683
540,0,0,0,0,941,994,909,679
550,0,0,0,0,941,997,911,706
560,0,0,0,0,940,981,910,705
570,0,0,0,0,938,967,909,681
580,0,0,0,0,939,996,912,683
590,0,0,0,0,938,994,910,682
600,0,0,0,0,941,997,933,684
610,0,0,0,0,940,995,934,681
620,0,0,0,0,942,996,912,681
630,0,0,0,0,940,996,935,683
640,0,0,0,0,938,995,933,681
650,0,0,0,0,941,996,935,683
660,0,0,0,0,937,995,912,683
670,0,0,0,0,940,994,912,683
680,0,0,0,0,940,967,912,683
690,0,0,0,0,939,996,910,682
700,0,0,0,0,941,995,912,683
710,0,0,0,0,940,997,911,682
720,0,0,0,0,938,994,909,682
730,0,0,0,0,940,996,911,684
740,0,0,0,0,938,994,911,683
750,0,0,0,0,938,996,908,680
760,0,0,0,0,943,996,934,683
770,0,0,0,0,939,996,932,683
780,0,0,0,0,941,998,913,684
790,0,0,0,0,940,967,935,683
800,0,0,0,0,939,968,932,684
810,0,0,0,0,942,995,935,686
820,0,0,0,0,939,995,930,682
830,0,0,0,0,943,998,911,681
840,0,0,0,0,939,996,913,685
850,0,0,0,0,940,997,911,684
860,0,0,0,0,940,992,933,684
870,0,0,0,0,937,996,933,683
880,0,0,0,0,942,997,936,686
890,0,0,0,0,942,998,911,682
900,0,0,0,0,940,969,910,684
910,0,0,0,0,941,971,937,685
920,0,0,0,0,939,998,935,683
930,0,0,0,0,940,996,933,684
940,0,0,0,0,939,998,911,683
950,0,0,0,0,940,995,911,683
960,0,0,0,0,938,996,910,680
970,0,0,0,0,942,996,889,683
980,0,0,0,0,938,996,889,684
990,0,0,0,0,937,992,887,684
