# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-24 19:32:49
# test: noise 1000
# period_ms=10 samples=100 capacity=384 result=OK build="Sep 24 2026 19:25:15"
# ticks_per_mm=9 cell_ticks=1620 move_extra_ticks=-5 ticks_per_turn=357 turn_still_ms=20
# spd=400 fast=400 turn=180 kp=2.00 ki=0.50 kd=30.00 ke=0.00 pd_max=80 accel_step_per_ms=4
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130 lane_mm=168
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=100
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr
0,0,0,0,0,1077,1017,1185,518
10,0,0,0,0,1053,1017,1185,517
20,0,0,0,0,1054,1018,1184,521
30,0,0,0,0,1079,1018,1182,519
40,0,0,0,0,1078,1016,1185,520
50,0,0,0,0,1053,1018,1184,519
60,0,0,0,0,1079,1019,1161,517
70,0,0,0,0,1076,1018,1161,522
80,0,0,0,0,1054,1015,1159,519
90,0,0,0,0,1056,1021,1164,519
100,0,0,0,0,1053,1018,1160,519
110,0,0,0,0,1054,1016,1158,519
120,0,0,0,0,1054,1017,1162,520
130,0,0,0,0,1054,1018,1159,518
140,0,0,0,0,1057,1017,1184,520
150,0,0,0,0,1055,1015,1184,520
160,0,0,0,0,1055,1019,1185,518
170,0,0,0,0,1056,1016,1183,519
180,0,0,0,0,1054,1018,1183,520
190,0,0,0,0,1057,1019,1187,520
200,0,0,0,0,1054,1018,1185,519
210,0,0,0,0,1080,1020,1187,522
220,0,0,0,0,1080,1019,1187,521
230,0,0,0,0,1081,1025,1187,520
240,0,0,0,0,1083,1021,1185,524
250,0,0,0,0,1056,1020,1185,521
260,0,0,0,0,1058,1020,1186,520
270,0,0,0,0,1081,1018,1185,520
280,0,0,0,0,1078,1017,1185,521
290,0,0,0,0,1078,1017,1182,520
300,0,0,0,0,1056,1017,1185,520
310,0,0,0,0,1055,1019,1184,519
320,0,0,0,0,1078,1017,1182,520
330,0,0,0,0,1060,1019,1187,520
340,0,0,0,0,1054,1021,1184,519
350,0,0,0,0,1058,1018,1185,521
360,0,0,0,0,1055,1019,1184,521
370,0,0,0,0,1077,1019,1184,513
380,0,0,0,0,1081,1021,1186,498
390,0,0,0,0,1076,1018,1182,520
400,0,0,0,0,1080,1018,1187,520
410,0,0,0,0,1080,1020,1186,519
420,0,0,0,0,1078,1018,1184,520
430,0,0,0,0,1081,1017,1185,520
440,0,0,0,0,1078,1018,1185,519
450,0,0,0,0,1078,1019,1183,521
460,0,0,0,0,1076,1015,1183,519
470,0,0,0,0,1079,1019,1186,520
480,0,0,0,0,1078,1017,1183,517
490,0,0,0,0,1077,1017,1184,496
500,0,0,0,0,1080,1020,1183,519
510,0,0,0,0,1079,1018,1184,517
520,0,0,0,0,1081,1019,1188,521
530,0,0,0,0,1081,1020,1182,520
540,0,0,0,0,1078,1018,1185,518
550,0,0,0,0,1080,1020,1185,519
560,0,0,0,0,1077,1015,1182,519
570,0,0,0,0,1078,1017,1184,518
580,0,0,0,0,1056,1019,1184,519
590,0,0,0,0,1080,1016,1205,519
600,0,0,0,0,1077,996,1184,496
610,0,0,0,0,1078,1004,1185,520
620,0,0,0,0,1055,1017,1185,517
630,0,0,0,0,1053,1019,1184,520
640,0,0,0,0,1082,1017,1188,519
650,0,0,0,0,1078,1019,1187,518
660,0,0,0,0,1080,1019,1185,519
670,0,0,0,0,1057,1022,1206,520
680,0,0,0,0,1052,1019,1185,520
690,0,0,0,0,1077,1019,1182,519
700,0,0,0,0,1079,1018,1185,521
710,0,0,0,0,1077,994,1183,497
720,0,0,0,0,1079,995,1184,494
730,0,0,0,0,1079,1018,1185,520
740,0,0,0,0,1078,1019,1183,520
750,0,0,0,0,1052,1016,1182,519
760,0,0,0,0,1056,1020,1186,519
770,0,0,0,0,1079,1015,1183,521
780,0,0,0,0,1079,1017,1187,520
790,0,0,0,0,1078,1019,1185,519
800,0,0,0,0,1081,1019,1184,518
810,0,0,0,0,1081,1021,1188,521
820,0,0,0,0,1081,1020,1188,521
830,0,0,0,0,1081,1022,1188,521
840,0,0,0,0,1081,1022,1187,499
850,0,0,0,0,1083,1018,1189,521
860,0,0,0,0,1079,1021,1185,519
870,0,0,0,0,1079,1019,1183,521
880,0,0,0,0,1080,1018,1184,519
890,0,0,0,0,1079,1020,1164,523
900,0,0,0,0,1078,1018,1160,519
910,0,0,0,0,1081,1016,1162,521
920,0,0,0,0,1079,1018,1162,522
930,0,0,0,0,1056,1018,1162,520
940,0,0,0,0,1056,1019,1162,519
950,0,0,0,0,1054,1018,1160,521
960,0,0,0,0,1058,1019,1163,520
970,0,0,0,0,1053,1018,1161,519
980,0,0,0,0,1052,1016,1156,521
990,0,0,0,0,1056,1017,1162,519
